school,debt
Wright State University,30677
Mayville State University,30653
Shawnee State University,30554
Columbus State University,30503
"University of Minnesota, Duluth",30445
Clayton State University,30423
University of New Hampshire at Manchester,30423
"The College at Brockport, State University of New York",30416
University of Wisconsin-Stout,30409
Georgia College & State University,30407
Virginia Military Institute,30367
St. Cloud State University,30310
University of Wisconsin-Superior,30285
Virginia Polytechnic Institute and State University,30221
Eastern Michigan University,30205
Clemson University,30201
Georgia State University,30167
Stephen F. Austin State University,30101
University of Montana,30000
Vermont Technical College,29988
Northern State University,29968
University of Mary Washington,29964
Dakota State University,29962
State University of New York at Plattsburgh,29865
Jackson State University,29864
Frostburg State University,29802
Georgia Southern University,29724
University of South Dakota,29686
Grand Valley State University,29675
State University of New York College of Agriculture and Technology at Cobleskill,29645
Southern Illinois University Carbondale,29637
Glenville State College,29608
Western Oregon University,29565
Kentucky State University,29553
Bowie State University,29520
Miami University,29434
Western Illinois University,29422
The University of Alabama in Huntsville,29396
Cleveland State University,29380
West Virginia University,29358
Idaho State University,29340
Auburn University,29295
University of Oklahoma,29283
Illinois State University,29228
Worcester State University,29137
State University of New York College at Cortland,29111
Rutgers University-Newark,29077
Indiana University-Purdue University Indianapolis,29065
Westfield State University,29050
Bluefield State College,29000
University of West Georgia,29000
University of South Carolina,28972
East Carolina University,28918
University of Vermont,28894
State University of New York College at Potsdam,28797
Indiana University Bloomington,28792
Bridgewater State University,28680
University of North Carolina School of the Arts,28551
University of Wisconsin-Parkside,28504
Midwestern State University,28468
The University of Kansas,28462
State University of New York at Oswego,28429
The University of Iowa,28405
Morrisville State College,28402
Longwood University,28376
Texas A&M University-Kingsville,28347
Northwest Missouri State University,28332
Kansas State University,28318
Valdosta State University,28318
Ball State University,28295
University of North Alabama,28283
The University of Toledo,28260
Virginia State University,28250
Indiana University Northwest,28241
The Ohio State University,28158
"University of Maryland, College Park",28122
Colorado Mesa University,28101
Marshall University,28095
Indiana State University,28092
Montclair State University,28070
Ohio University,27993
Ohio University-Chillicothe,27993
Ohio University-Southern Campus,27993
Ohio University-Lancaster,27993
Ohio University-Zanesville,27993
Ohio University-Eastern,27993
Southeast Missouri State University,27991
University of Wisconsin-Madison,27979
Boise State University,27974
Eastern Washington University,27961
Texas A&M University-Commerce,27961
Wayne State University,27960
Montana Tech of The University of Montana,27926
Sam Houston State University,27920
Massachusetts College of Liberal Arts,27883
Bethel College,5633
School removed due to reporting error.,5831
University of the Incarnate Word,6271
University of North Texas at Dallas,6927
The College of Idaho,7202
Pennsylvania College of Technology,7218
Florida Agricultural and Mechanical University,7454
Berea College,7468
Princeton University,9005
Davis College,9381
Ramapo College of New Jersey,10082
Alice Lloyd College,10141
Dixie State University,12201
Hult International Business School,12343
University of North Georgia,12345
Texas Wesleyan University,12360
Fisher College,12724
Yale University,13050
The University of Texas Rio Grande Valley,14291
"California State University, Fullerton",14965
Brigham Young University,14998
Haverford College,15000
Removed per school request,15101
Harvard University,15114
Appalachian Bible College,15421
Western Washington University,15663
Western Carolina University,15669
Moody Bible Institute,15715
Northeastern Illinois University,15819
"California State University, Dominguez Hills",15880
Pfeiffer University,15939
Rogers State University,16164
Williams College,16230
New College of Florida,16297
Southeastern Oklahoma State University,16542
California Institute of Technology,16777
Southern Utah University,16824
"California State University, Northridge",16876
Texas A&M University-Corpus Christi,16998
Texas A&M International University,17394
Pomona College,17408
"California State University, Bakersfield",17454
Reed College,17467
"University of Washington, Tacoma",17480
Webb Institute,17870
The University of Texas at Tyler,17916
Lincoln Memorial University,18038
Austin Peay State University,18044
Northeast Catholic College,18186
"University of California, Berkeley",18197
Cooper Union for the Advancement of Science and Art,18272
"California State University, Fresno",18308
Principia College,18335
Wellesley College,18370
Nebraska Christian College of Hope International University,18479
Southwestern Oklahoma State University,18520
Tennessee Wesleyan University,18540
"California State University, Los Angeles",18688
University of North Florida,18787
"University of Washington, Bothell",18850
"California State University, Stanislaus",18960
"California State University, Long Beach",19062
Amherst College,19075
Blue Mountain College,19084
"University of California, Davis",19124
Thomas Aquinas College,19269
Hamilton College,19281
San Jose State University,19303
San Francisco State University,19347
Middlebury College,19382
New Mexico Highlands University,19391
Grinnell College,19392
Vassar College,19439
Saint Augustine's University,19500
University of Nebraska at Kearney,19538
"University of California, Merced",19551
Dartmouth College,19571
The University of Texas of the Permian Basin,19578
Sarah Lawrence College,19610
Hilbert College,19613
San Diego State University,19633
Scripps College,19639
Northwestern University,19718
"University of California, Irvine",19745
University of Washington,19880
Barclay College,19926
"California State University, Monterey Bay",19962
Florida International University,20022
Massachusetts Institute of Technology,20048
"California State University, Sacramento",20052
Southeastern Louisiana University,20164
Stanford University,20205
Swarthmore College,20209
Post University,20246
Central Washington University,20411
Davidson College,20431
Boston College,20481
Coker College,20494
Henderson State University,20638
"University of California, Santa Barbara",20665
Bates College,20715
University of New Orleans,20723
The Colorado College,20742
Sonoma State University,20797
Utah Valley University,20832
University of Colorado Denver,20941
Pitzer College,20947
Fort Lewis College,20988
New Mexico State University,21019
Carleton College,21035
"University of California, Riverside",21104
"St. Joseph's College, New York",21123
The Evergreen State College,21147
Bob Jones University,21153
Concord University,21176
University of Utah,21188
University of Bridgeport,21200
Northeastern State University,21268
Saint Louis University,21292
Utah State University,21328
"University of Nevada, Las Vegas",21333
The University of Virginia's College at Wise,21389
Kenyon College,21404
Claremont McKenna College,21421
"University of California, San Diego",21430
Maranatha Baptist University,21432
"California State University, San Bernardino",21555
Campbellsville University,21756
University of South Florida,21799
Montreat College,21802
University of Central Florida,21818
"California Polytechnic State University, San Luis Obispo",21852
The University of Tennessee,21872
Liberty University,21875
St. Mary's College of Maryland,21911
"University of California, Los Angeles",22013
Tennessee Technological University,22018
Farmingdale State College,22105
University of Alaska Fairbanks,22155
University of Florida,22192
The University of North Carolina at Chapel Hill,22214
"California State Polytechnic University, Pomona",22228
Louisiana Tech University,22262
The University of Tennessee at Chattanooga,22293
Saint Peter's University,22317
University of Science and Arts of Oklahoma,22351
Newberry College,22380
Indiana University East,22392
University of Wyoming,22524
Wright State University-Lake Campus,22549
West Texas A&M University,22569
Washington University in St. Louis,22592
Southern Arkansas University-Magnolia,22616
"University of Nevada, Reno",22650
Washington and Lee University,22651
Weber State University,22657
Villa Maria College,22658
University of Wisconsin-Green Bay,22664
Williams Baptist College,22747
Concordia University Chicago,22804
"University of California, Santa Cruz",22804
Emporia State University,22816
Florida Atlantic University,22818
Appalachian State University,22855
University of Nebraska-Lincoln,22918
Wesleyan University,22930
The University of Texas at El Paso,22938
Lesley University,23000
University of Illinois at Chicago,23076
Franklin W. Olin College of Engineering,23098
Bowdoin College,23174
University of Pennsylvania,23224
Arizona State University at the Tempe campus,23237
Martin Luther College,23239
Whitman College,23254
Barnard College,23276
Emerson College,23374
Georgetown University,23387
Minot State University,23400
University of Chicago,23401
University of Georgia,23403
Soka University of America,23441
Texas A&M University,23505
University of Louisville,23556
The University of Texas at Dallas,23565
University of Maine at Presque Isle,23574
Southern Oregon University,23603
DePauw University,23635
Indiana University Kokomo,23664
Florida State University,23679
"California State University, San Marcos",23734
University of Houston,23746
Oklahoma State University,23790
Duke University,23819
University of North Carolina at Asheville,23824
Indiana University Southeast,23845
Mount Holyoke College,23872
University of Pikeville,23876
University of Northern Iowa,23887
Skidmore College,23916
The University of Arizona,23956
Benedictine University,23959
Cameron University,23961
Vanderbilt University,23973
Texas Woman's University,23983
California State University Maritime Academy,24052
North Carolina State University,24053
Drew University,24058
The College of William and Mary,24072
University of Maine at Fort Kent,24096
Columbia International University,24132
East Central University,24171
East Stroudsburg University of Pennsylvania,24182
College of the Atlantic,24228
University of Hawaii at Manoa,24233
Ave Maria University,24294
Johnson University,24353
Arizona State University at the Downtown Phoenix campus,24368
King University,24370
Macalester College,24381
Pittsburg State University,24389
Northern Arizona University,24413
Calumet College of Saint Joseph,24431
The Baptist College of Florida,24444
Oklahoma Baptist University,24451
John Brown University,24467
Arizona State University at the West campus,24498
Clarkson University,24500
Smith College,24501
University of Virginia,24501
University of Southern Indiana,24568
The University of North Carolina Wilmington,24605
Humboldt State University,24638
Tarleton State University,24695
Colgate University,24761
Dallas Baptist University,24805
Arkansas Tech University,24816
Emmanuel College,24840
University of Northern Colorado,24844
Florida Gulf Coast University,24879
The University of Texas at Austin,24883
Centre College,24917
Angelo State University,24926
Northwest University,24930
Louisiana State University and Agricultural & Mechanical College,24933
Truman State University,24938
University of Wisconsin-Whitewater,24948
Adams State University,24958
Kansas City Art Institute,25000
University of Miami,25000
